id,title,douban_link
452,镇魂街 第四季,https://movie.douban.com/subject/36638253/
618,一拳超人 第三季 ワンパンマン 3,https://movie.douban.com/subject/34604875/
679,狐妖小红娘 镜花缘篇,https://movie.douban.com/subject/36515737/
704,元尊,https://movie.douban.com/subject/35764578/
756,哑舍,https://movie.douban.com/subject/36053650/
777,冰上的尤里 第二季 ユーリ!!! on ICE 2,https://movie.douban.com/subject/27017358/
785,六样情,https://movie.douban.com/subject/37040084/
805,仙武传 第一季,https://movie.douban.com/subject/36025654/
821,少女天使 Angel's Friends - Tra sogno e realtà,https://movie.douban.com/subject/25782738/
824,神墓 第二季,https://movie.douban.com/subject/36119131/
832,沧元图 东宁府番外篇,https://movie.douban.com/subject/36895532/
873,平凡职业造就世界最强 第三季 ありふれた職業で世界最強 3期,https://movie.douban.com/subject/36093292/
898,我是大神仙 第三季,https://movie.douban.com/subject/36053745/
904,魔法少女小圆：沃普尔吉斯的回天 劇場版 魔法少女まどか☆マギカ 〈ワルプルギスの廻天〉,https://movie.douban.com/subject/35316478/
908,三国杀：太平天书,https://movie.douban.com/subject/36053750/
920,百炼成神,https://movie.douban.com/subject/36093323/
922,朔风—破阵子,https://movie.douban.com/subject/35131875/
950,遮天 年番2,https://movie.douban.com/subject/36848875/
983,少年白马醉春风2,https://movie.douban.com/subject/36502165/
995,吞噬星空 第5季,https://movie.douban.com/subject/36985220/
1030,永生之气壮山河,https://movie.douban.com/subject/36590019/
1066,敖丙传,https://movie.douban.com/subject/34953681/
1114,西行纪年番,https://movie.douban.com/subject/36053751/
1158,白色闪电,https://movie.douban.com/subject/35705835/
1159,我独自升级 第二季 俺だけレベルアップな件Season 2 -Arise from the Shadow-,https://movie.douban.com/subject/36837352/
1175,永生之海噬仙灵,https://movie.douban.com/subject/36832646/
1189,大主宰年番,https://movie.douban.com/subject/35517453/
1190,画江湖之不良人7,https://movie.douban.com/subject/36406476/
1197,师兄啊师兄 年番1,https://movie.douban.com/subject/36876923/
1206,万界独尊,https://movie.douban.com/subject/35426411/
1210,汉化日记 第四季,https://movie.douban.com/subject/36140938/
1220,亏成首富从游戏开始,https://movie.douban.com/subject/36141054/
1251,狂王,https://movie.douban.com/subject/36055648/
1285,反派初始化,https://movie.douban.com/subject/35679834/
1303,灯笼刀,https://movie.douban.com/subject/35174001/
1352,回铭之烽火三月,https://movie.douban.com/subject/36141048/
1357,青之驱魔师 雪之尽头篇 青の祓魔師 雪ノ果篇,https://movie.douban.com/subject/36829112/
1361,散修之王,https://movie.douban.com/subject/36515006/
1382,鸣鸟不飞2：风暴来临 囀る鳥は羽ばたかない The storm breaks,https://movie.douban.com/subject/34970139/
1444,这个勇者明明超强却过分慎重 第二季 慎重勇者～この勇者が俺TUEEEくせに慎重すぎる～ 2期,https://movie.douban.com/subject/34937890/
1448,赘婿·龙蛇篇,https://movie.douban.com/subject/36591275/
1507,逆天至尊,https://movie.douban.com/subject/35525931/
1574,完美世界 第五季,https://movie.douban.com/subject/37046586/
1618,白发沈辣,https://movie.douban.com/subject/36939918/
1627,一世之尊,https://movie.douban.com/subject/36141018/
1660,精灵梦叶罗丽10,https://movie.douban.com/subject/36035869/
1697,没能成为魔法师的女孩子的故事 魔法使いになれなかった女の子の話。,https://movie.douban.com/subject/30361992/
1754,凤凰,https://movie.douban.com/subject/6874792/
